p1,p2,p3,p4,p5,controlTime_uS
16,16,1,32,32,2894
16,16,7,32,32,54850
16,16,1,2048,2048,5502680
16,16,7,2048,2048,174392556
512,512,1,32,32,1482588
512,512,7,32,32,26826697
512,512,1,2048,2048,Timed out
512,512,7,2048,2048,Timed out
256,256,3,256,256,101732650
